XX,text
AHLBORG_H_2017_TOWARDS_A_CONCEPTUALIZATI,"the field of sustainability transitions has recently benefitted from efforts by multiple scholars at better conceptualizing power and politics, and integrating insights from other fields. this article argues for an understanding of power as relational, productive, contingent and situated. i conceptualize power to the aim of understanding and explaining how and where power relations become de/stabilized in energy transitions in poor rural communities. an understanding of power as a relational capacity to act is integrated with a sociotechnical and relational understanding of constitutive power, which enables us to explore the co-production of social relations, technology and nature. the resulting conceptualization is applied to a case of mini-hydropower electrification in tanzania. i find that electrification simultaneously reinforces social inequality and enhances social mobility. i identify material, symbolic and discursive domains that work as sources of de/stabilization of social hierarchies, producing effects on the system configuration and relations of class and gender. the author(s)"
BENTO_N_2016_MEASURING_THE_DURATION_OF,"innovation processes during the early period of a technology's development establish the conditions for widespread commercialization. for comparative analysis of innovation processes across technologies, a common operational definition of the formative phase is needed. this paper develops a set of indicators to measure the start and end points of formative phases with reference to key innovation processes including experimentation and market formation. the indicators are then applied to measure the formative phase durations of sixteen energy technologies covering a range of historical periods and applications. formative phases are found to last years on average. determinants of formative phase duration are explored. duration does not appear to be explained by unit scale, up-scaling, nor initial cost. however, technologies that are ready substitutes for incumbents have shorter formative phases, ceteris paribus. policy implications include the potentials and risks of accelerating formative phases to push low carbon technologies into the market. elsevier b.v."
COHEN_N_2015_TRANSITIONING_THE_FOOD_SY,"socio-technical systems are composed of everyday practices that are forged as they are performed in specific places. transitioning these systems toward sustainability involves changing the practices that constitute and reproduce them. this is true of the food system, which is enacted by the performance of activities, from food production to disposal, in specific communities. cities shape, support and normalize food practices, and in the process play an important role in transitioning the wider food system. the practice of shopping at farmers markets in nyc by recipients of federal food benefits illustrates how this and related practices are initiated, encouraged, coordinated, and enacted, and how corresponding shifts in the meanings, competences and material elements comprising a practice influence the food system. based on this case, the paper suggests opportunities for cities to engage in what we call strategic practice management to support shifts toward sustainable practices, and thus sustainable socio-technical systems. elsevier b.v. all rights reserved."
KERN_F_2015_ENGAGING_WITH_THE_POLITIC,"questions whether the technological innovation systems approach can be used to study transitions. politics is a much more pervasive feature of transitions than 'legitimation'. weakness of systems approaches is that they pay insufficient attention to agency. tis approach fails to take into account structural rigidities in existing sectors. however, there is potential for a more politically informed tis analysis. elsevier b.v. all rights reserved."
HUTTUNEN_S_2014_THE_NEED_FOR_POLICY_COHER,"transitions towards more sustainable societies involve policy changes cutting across multiple sectors. ideally, policies targeting different sectors create a coherent push for the adoption of more sustainable solutions. sustainability transition studies have, however, paid little attention to the role of policy interaction across different policy domains. by focusing on biogas production in finland and by further developing the technological innovation systems functions in connection to policy coherence, this paper examines how policy coherence is related to triggering transition from the perspective of biogas actors. the results demonstrate how supportive policies in one sector are made inefficient by unsupportive policies, instruments and practices in others. however, the lack of policy coherence, especially at the local level, may also have innovation-triggering influence when it forces actors to consider unconventional solutions. thus the innovation effects of policy coherence are difficult to foresee and require an actor-focused perspective for analysis. elsevier b.v."
WESSELING_JH_2015_EXPLORING_CAR_MANUFACTURE,"the ability of firms to influence environmental regulation has largely been overlooked in transition studies. we study how car manufacturers combine and change their innovation and political influence strategies in response to a technology-forcing regulation. we apply a conceptual framework on corporate responses to public innovation policy to the case of the zero emission vehicle mandate over the period -. we use patent and sales data to operationalize the r-and-d and commercialization aspects of innovation strategies, while using corporate political activities data to operationalize political influence strategies. we find that first, car manufacturers used specific combinations of innovation and political influence strategies, depending on their value maintaining or value creating nature. second, manufacturers changed their strategies and became more value creating over time, which supported socio-technical change. third, we refine the available strategy typology by identifying subclasses in defensive (opposition and slowdown) and proactive strategies (shaping, support and progressive). elsevier b.v. all rights reserved."
KUNGL_G_2018_SEQUENCE_AND_ALIGNMENT_OF,"this article makes two contributions to the emerging research stream on regime and industry destabilisation in the transition literature. first, we replicate the multi-dimensional framework developed by turnheim and geels with a more contemporary study that has closer links to sustainability transitions. drawing on a wide range of primary and secondary sources, we analyse the destabilisation of the german electricity industry, which faced multiple external pressures: renewable energy technologies, nuclear phase-out policy, the financial-economic crisis, and negative public debates. second, we elaborate the role of multiple pressures in industry destabilisation, focusing in particular on their sequence and alignment. we inductively identify patterns such as the masking effect of highly visible macro-shocks, perfect storm pattern, a killer blow effect, and spillover dynamics between external environments. elsevier b.v."
WELLS_P_2015_FROM_FREEDOM_OF_THE_OPEN,"this review paper takes the perspective of cultures of automobility in an historical context to understand resistance to attempts to alter the personal automobility paradigm with more sustainable alternative mobility concepts. the paper seeks to urge caution upon those that identify 'peak car' or an imminent socio-technical transition to sustainable mobility and a re-emergence of public transportation modes. the paper argues that cars as cultural objects have shifted from embodying the ideological philosophy of personal freedom to that of cocooning. in so doing the paper seeks to inject a note of caution into the debate over emergent post-automobility societies through reflection on the character and impact of cultures of automobility. despite the possible declining functionality of cars as a means of transport, it is concluded that their appeal as personal space remains and may even be enhanced by future technological changes. elsevier b.v. all rights reserved."
FEOLA_G_2020_CAPITALISM_IN_SUSTAINABIL,"sustainability transition research (str) has failed to engage in any significant analyses or critiques of capitalism. this article argues that capitalism is not a landscape factor, but rather permeates the workings of socio-technical systems in ways that must be recognised both for elaborating rigorous accounts of transition trajectories and for enhancing the capacity of str to support future societal sustainability transitions. this argument is developed specifically in relation to the three challenges of str: the analysis of the actual sustainability of sustainability transitions, the application of transition theory to cases in the global south, and the move towards a forward-looking str. the article identifies three main implications of this argument with respect to interdisciplinarity, the validity of current theoretical frameworks, and the practice of str. ultimately, the article invites str scholars to be more openly reflexive not only about possible theoretical biases, but also regarding their own roles in society. the author"
JOHNSON_FX_2014_PIONEER_COUNTRIES_IN_THE,"efforts to develop alternative transport fuels and vehicles are found in countries varying tremendously in their level of economic development. in this paper, we compare the alternative fuels transition, focusing on ethanol, in three countries: brazil, malawi and sweden. each can be described as a pioneer in developing the physical and institutional infrastructure and stimulating innovation towards alternative transport fuels. we assess the transition in these pioneer countries based on niche formation and interaction with regime and landscape levels. particular reference is made to spatial and temporal path dependencies and to the significance of cross-scale and cross-sector effects that impact the innovation process. as other countries and regions develop programmes to address the twin challenges of energy security and climate change, they can benefit from a better understanding of linkages between techno-economic and socio-technical factors in transition paths of pioneer countries, across different scales and different stages of economic development. elsevier b.v."
MARTISKAINEN_M_2018_CREATING_INNOVATIVE_ZERO,"a transition to zero carbon buildings is needed for mitigating climate change. yet, it is far from gaining sufficient momentum in many countries, particularly the united kingdom. this article focuses on actors and platforms facilitating change towards zero carbon residential buildings by integrating the concepts of innovation intermediaries and champions. drawing on interview data and building on the literatures of innovation intermediaries, champions and strategic niche management, the article analyses actor configurations in three new build housing projects. the findings show that actors and platforms acting as innovation intermediaries advance zero carbon buildings at different stages of project development, with varying intensity, influence and longevity. some intermediaries take also championing roles, while also other actors champion projects when intermediation is absent. at a time of limited policy support for zero carbon housing innovations, intermediation and championing activities become especially important in the transition towards zero carbon buildings. the authors"
DE_VRIES_GW_2016_USER_LED_INNOVATION_IN_CI,"building on user and grassroots innovation literature, we explore user innovations in five dutch civic energy communities. less attention has been paid to the interplay of social, symbolic and technological innovations that seems to be at the heart of many civic energy communities. in this paper, we shed light on this interplay, and explore the activities of civic energy communities as configurational user innovations, i.e. creating user-designed arrangements of loosely related sets of components. our analysis shows that configurational work combines off-the-shelf technologies with novel technical and non-technical ideas, such as business models for local energy provision, rather than endeavor clear-cut changes to existing devices. such configurational work is deeply entangled with learning processes at the community level, whereby an evolving technical identity as well as various community building activities provide a growing network of resources as necessary context for implementation of user innovations. elsevier b.v. all rights reserved."
NYKVIST_B_2015_THE_EV_PARADOX_A_MULTIL,"despite seemingly favourable conditions for alternative road-based transport technologies, progress on battery electric vehicles (bevs) have been slow in stockholm. we investigate why, applying the multilevel perspective for socio-technical transitions to a local case study of stockholm. using in-depth interviews with key actors we trace processes and discuss possible explanations at niche, regime and landscape levels. the results show that niche developments are clearly lacking, resulting in limited experience and knowledge of bevs, and enduring conceptions among both policymakers and consumers. regime actors are also ambivalent towards bevs, leading to limited regime action with for example car companies moving more to plugin hybrid electric vehicles instead of bevs. finally, there is uncertainty as a result of a lack of strong policy signals for bevs, in turn driven by policy makers' aversion against technology-specific support. we outline what governance gaps need to be addressed to induce faster progress on bev uptake. elsevier b.v."
WISEMAN_J_2013_POST_CARBON_PATHWAYS_A_M,"this article summarises findings from a review of eighteen large-scale post-carbon transition strategies, from government and non-government sources. it is informed by analysis of policies and reports identifying one or more integrated pathways for achieving dramatic greenhouse gas emissions reductions within national or supranational jurisdictions. for each strategy we considered assumptions and priorities regarding: targets, technology; economics and financing; equity; governance; and social and political change. we describe lessons from analysis of these attempts to articulate and stimulate integrated actions for post-carbon transitions and point to areas for further exploration. a crucial difference was identified between strategies advocating an incremental and evolutionary approach to emissions reductions and those advocating more rapid and transformational change. this highlights the challenging and urgent task of understanding how to bridge the gap between physical requirements of action to prevent runaway climate change and societal support for action at that speed and scale. elsevier b.v. all rights reserved."
ROSENBLOOM_D_2018_FRAMING_LOW_CARBON_PATHWA,"transition studies have made constructive efforts to attend more closely to the politics of sustainability transitions, with discourse emerging as an increasingly important means of interrogating these dynamics. drawing on discourse perspectives, this study deploys the multi-dimensional discursive approach to explore framing struggles surrounding a climate change mitigation experience of international significance (the phase-out of coal-fired power in ontario), revealing how ideas, interests, institutions, and infrastructure (the four i's of sustainable energy transitions) interact in constituting pathways to sustainability. this approach captures the way in which contending actors frame issues and technologies, modulating possibilities and shaping the sequences of choices that link current societal arrangements to future low-carbon states. the study elaborates how processes of negotiation among competing interests and priorities helped define the pathway to eliminate coal. it also suggests that regulatory measures may help to accelerate the pace of transitions and succeed where market approaches are politically untenable. elsevier b.v."
LIEBERHERR_E_2015_THE_IMPACT_OF_PRIVATIZATI,"this paper analyzes the ability of water utilities to contribute to sustainability transition processes. more specifically, we compare the capacity of utilities, embedded in purely public, mixed and largely private governance modes, to innovate. we employ dynamic capabilities as core indicators for innovativeness and therefore as major enabling factors for sustainable sector transitions. we assess the relationship between governance modes and innovation by conducting an in-depth comparative analysis of three water utilities, each within a differing governance mode along the public-to-private continuum: zurich, berlin and leeds. while we find that the private and mixed governance modes have an increased degree of innovativeness, they perform lower in terms of static sustainability criteria than the public mode. we therefore conclude that the impact of privatization on sustainability transitions in the water sector involves multi-dimensional trade-offs between static and dynamic sustainability criteria. elsevier b.v. all rights reserved."
INGRAM_J_2018_AGRICULTURAL_TRANSITION,"this paper examines how knowledge systems within alternative agricultural niche develop and interact with the regime's agricultural knowledge systems (aks). it frames the analysis around transition, knowledge systems and boundaries literatures. specifically it explores the extent to which niche knowledge systems confront and, or enhance the regime's aks. the paper draws on empirical data from a study of the permaculture community in england. the analysis describes the boundary between the knowledge systems of the permaculture niche and the mainstream agricultural regime. rather than a simple notion of pks confronting or enhancing the aks there are multiple knowledge processes operating which both maintain and permeate boundaries between the two knowledge systems. elsevier b.v."
DEWALD_U_2015_TRAJECTORIES_OF_SUSTAINAB,"this paper proposes that spatial dynamics of new environmental technologies can be better understood when positioned in a multi-scalar theoretical framework based on innovation system approaches. we combine territorial innovation system concepts with a technological innovation systems (tis) perspective. the investigation of photovoltaic (pv) technology in germany indicates that the relevance of different scales and actor constellations shifts in the course of a 'maturing' innovation system. first, the convergence of regional and institutional subsystems forms a temporary window of opportunity for a robust tis formation within a national framing. second, consolidation according to basic patterns of the underlying national innovation system takes place. this is illustrated by the robust performance of german mechanical pv equipment suppliers within a globalized pv value chain. the empirical findings allow for drafting a theoretical framework that offers a generalized view on this shifting spatial context pattern of an emerging environmental technology. elsevier b.v. all rights reserved."
UPHAM_P_2015_ADDRESSING_SOCIAL_REPRESE,"while sociologists of science and technology have long understood technological diffusion and adoption as processes of social embedding, the psycho-social processes involved have received relatively little attention in the socio-technical transitions literature. here we consider the value of moscovici's social representations theory in terms of its potential contribution to a theory of socio-technical change, the multi-level perspective (mlp). using fracking-derived shale gas as a technology case study and newspaper representations of the technology in poland, germany and the uk as data, we address and illustrate connections between the processes of anchoring and objectification that are central to social representations theory and the socio-technical dynamics observed. in so doing, we set out an approach for further work on agency in the mlp and socio-technical change processes generally, informed by a social psychological approach that aligns with structuralist concepts. elsevier b.v. all rights reserved."
VAN_DER_PLOEG_R_2013_GREEN_GROWTH_GREEN_PARAD,"a schumpeterian case can be made for boosting green growth in a global economic crisis. the best way to achieve this is a combination of r-and-d subsidies to redirect growth from polluting to clean economic activities and a credible, rising carbon tax to speed up the transition to the carbon-free era. if a carbon tax is infeasible, renewables subsidies might be a second-best alternative to reduce the duration of the fossil fuel era and curb cumulative carbon emissions despite some adverse, short-run green paradox effects. elsevier b.v. all rights reserved."
FISCHER_KOWALSKI_M_2011_ANALYZING_SUSTAINABILITY,"this essay seeks to specify the theoretical choices and assumptions involved in studying sociometabolic transitions, such as sustainability transitions, in a way that distinguishes them from mere ""changes"". these generalizations draw on experiences with the empirical analysis of historical transitions on various scale levels. this perspective is illustrated by using material and energy flow data to demonstrate global sociometabolic regime transitions during the th century. elsevier b.v. all rights reserved."
KIVIMAA_P_2019_PASSING_THE_BATON_HOW_IN,"recently, increasing attention has been paid to intermediaries, actors connecting multiple other actors, in transition processes. research has highlighted that intermediary actors (e.g. innovation funders, energy agencies, ngos, membership organisations, or internet discussion forums) operate in many levels to advance transitions. we argue that intermediation, and the need for it, varies during the course of transition. yet, little explicit insight exists on intermediation in different transition phases. we integrate existing conceptual models on transition dynamics and phases and a typology of transition intermediaries to examine how intermediaries advance transitions in different phases. we illustrate our conceptual insights through examples from car clubs, heat pumps and low-energy housing. we conclude that intermediation is paramount from predevelopment to stabilisation of a transition. intermediary functions change from supporting experimentation and articulation of needs in predevelopment, to the aggregation of knowledge, pooling resources, network building and stronger institutional support and capacity building in acceleration. the authors"
WILLIAMS_S_2019_JUSTICE_IN_ENERGY_TRANSIT,"this paper argues that transitions research more broadly needs to take more account of justice in its analysis. this paper draws primarily from environmental and energy justice literature to engage with the concept of justice in transitions research, as it seeks justice for people, communities, and the non-human environment from negative environmental impacts. this is achieved through different forms of justice: distributive, procedural, and recognition. our paper concludes with reflections upon the application of a justice approach to sustainability transitions research and offer insights into a potentially new research agenda. elsevier b.v."
HUBER_A_2017_THEORISING_THE_DYNAMICS_O,"this article aims to make a contribution to a more nuanced, theory-based interpretation of current dynamics of collaborative consumption (cc). first, i develop my own definition of cc practices, highlighting the engagement of at least two individuals who get involved in direct interaction and make use of the same units of goods and services. this conceptualisation leads me to a compilation of some exemplary cc practices. empirical data shows a very uneven diffusion of these practices in france and in germany. social practice theory (spt) is suggested as very fruitful theoretical framework to explain these diverging dynamics. to illustrate the usefulness of this approach, i then compare two specific cc forms, pp accommodation and cohousing. my analysis shows that pp accommodation has formed a highly attractive practice configuration with very good chances to recruit hosts, while cohousing presents a rather demanding practice-as-entity with rather restricted opportunities to find practitioners. to conclude, i suggest to complement spt with insights from the multi-level-perspective in order to better account for systemic, vertical processes, which affect the availability of practice elements. elsevier b.v."
WIECZOREK_AJ_2015_BROADENING_THE_NATIONAL_F,"this paper empirically explores if and how the spatial dimensions of technological innovation system matter using the case of offshore wind in north-western europe. in particular, it demonstrates the territory-specific institutional embeddedness and transnational linkages effects between four national offshore wind innovation systems. the paper discusses the consequences of taking these spatial dimensions into account in the analysis of the domestic tis performance. it argues that the acknowledgement of these dimensions contributes to better understanding of the systems' dynamics and leads to policy advice that is in sync with recent internationalisation developments in the diffusion of the offshore wind industry. elsevier b.v."
QUITZOW_R_2014_THE_CONCEPT_OF_LEAD_MARK,the economic potential of lead markets for environmental technologies has served as an important justification for policies to promote environmental innovations in europe. the emergence of competition from emerging economies has revealed that a domestic lead market is no guarantee for long-term competitive success in an international context. this article reviews the academic literature on lead markets as well as its application in policy. it outlines the theoretical foundations of the concept and main insights obtained with it and relates these to its uses in policy. it then contrasts the lead market approach with the technological innovation systems framework and the multi-level perspective as these are both frequently employed in the transitions literature. the article addresses shortcomings of the current literature and proposes a number of avenues for further development of the concept. elsevier b.v. all rights reserved.
ANTAL_M_2013_MACROECONOMICS_FINANCIAL,"we raise fundamental questions about macroeconomics relevant to escaping the financial-economic crisis and shifting to a sustainable economy. first, the feasibility of decoupling environmental pressure from aggregate income is considered. decoupling as a single environmental strategy is found to be very risky. next, three main arguments for economic growth are examined: growth as progress, growth to avoid economic instability, and growth to offset unemployment due to labor productivity improvements. for each, we offer orthodox, heterodox and new responses. attention is paid to progress indicators, feedback mechanisms affecting business cycles, and strategies to limit unemployment without the need for growth. besides offering an economy-wide angle, we discuss the role of housing and mortgage markets in economic cyclicality. finally, interactions between real economic and financial-monetary spheres are studied. this includes money creation, capital allocation and trade-offs between efficiency and operating costs of financial systems. throughout, environmental and transition implications are outlined. elsevier b.v. all rights reserved."
ROSE_A_2011_RESILIENCE_AND_SUSTAINABI,"very few of the large number of major disasters in recent years have threatened the survival of the host region. improvements in conditions underlying sustainability have helped in this regard, as has inherent and adaptive resilience associated with disaster recovery. sharp breaks from the past do not appear to be the norm, but opportunities for major transitions do increase in the aftermath of disasters. this paper examines some major types of resilience that have been effective and encourages their incorporation into long-term recovery and mitigation strategies. elsevier b.v. all rights reserved."
VAN_MOSSEL_A_2018_NAVIGATORS_THROUGH_THE_ST,"the literature on socio-technical transitions pays increasing attention to the role of incumbent firms during transitions. these firms have been found to variably further, delay, or to ignore transitions towards a more sustainable society. yet, it remains unclear which factors cause incumbents to display different modes of behavior during transitions, and which factors affect the transition's impact on an incumbent's survival. we engage this issue by reviewing five prominent organization theories. we first discuss how the transitions literature conceptualizes incumbent behavior and relate the open questions to major debates in the organizational literature. we systematically summarize each organization theory's assumptions and expectations about incumbent behavior, and derive typical modes of behavior. lastly, we discuss how an incumbent's characteristics influence its behavior and survival. overall, our review provides stable footing for researchers seeking to conscientiously judge which theories are most appropriate to understand incumbent behavior in the transition process at hand. the authors"
ROGERS_BC_2015_ANALYSIS_OF_INSTITUTIONAL,"infrastructure systems are facing sustainability challenges but are locked into their current practices. transitions studies aims to understand trajectories towards new socio-technical regimes and argue for agency-centric perspectives to explain processes of change. this paper adopts an institutional lens, examining the institutional creation processes needed for maturing innovations within established systems. three innovations in melbourne's water system were selected as empirical cases: desalination, wastewater recycling and stormwater harvesting. each had a different institutional alignment with the established regime and different trajectories between key stages of maturity, from pre-niche to niche, niche-regime and regime. the paper examines the purposes and types of institutional work undertaken to support each stage: cultural-cognitive, normative and regulative. their trajectories were influenced by the regime alignment and characterised by maturation speed, institutional work undertaken and limiting conditions for further maturation. cross-case comparison enabled derivation of hypotheses on the linkage between institutional work and innovation maturity elsevier b.v. all rights reserved."
HOBSON_K_2018_SYSTEMS_OF_PRACTICE_AND_T,"of late, policy and research attention has increasingly focused on making the circular economy a reality. a key part of this agenda is the creation of sustainable product service systems (spss) that meet consumers needs whilst lessening negative environmental impacts. although the spss literature has grown recently, key aspects require further examination. in response, this paper discusses empirical research exploring consumers reactions to a novel, hypothetical mobile phone spss, utilizing qualitative methods that included business origami. it examines consumers knowledge about current mobile phone life cycles, and responses to the proposed spss, drawing on a systems of practice framework to discuss the potential for significant changes in phone purchase and use. it outlines barriers to alterations in practices, underscoring the centrality that connectivity and data storage now have in many peoples daily lives, which have for some become clustered around the capabilities and accessibility of the mobile phone. the authors"
DE_RIVERA_J_2017_A_NETNOGRAPHIC_STUDY_OF_P,"although still embryonic, collaborative consumption and the sharing economy have become social and economic phenomena in just a few short years, yet there is little consensus on how to define them. the current classificatory schema or typologies of platforms have some weaknesses. sectoral classifications, technological functionality, and discursive modes of understanding sharing and collaborative economies all provide valuable insights, but when taken individually important gaps are evident, not least in their inter-system isolation, but most particularly when technology, such as platform architecture and user interfaces, is disassociated from wider social and economic conditions of possibility. in order to build on previous research we set out to develop a more complex understanding of collaborative consumption by studying platform architecture, interface, design and informational content to examine how technological affordances of digital platforms structure social interaction. in order to carry out the research we designed a netnographic protocol that systematised data collection across four dimensions of platforms technological structure and informational content: functionality and usability; trust and virtual reputation; codes of conduct and community footprint. data was collected on fifty-five platforms, including forty-seven across belgium, italy, portugal and spain, as well as eight international platforms. following factor and cluster analysis, and on the basis of the theoretical understandings of the sharing and collaborative economy, we developed a typology that grouped platforms into three groups: network, transaction and community oriented. elsevier b.v."
HANSEN_UE_2013_TRANSNATIONAL_LINKAGES_AN,recent studies have found that further development of the mlp is needed to conceptualise and empirically assess the role of transnational linkages in niche development. this paper explores the factors that may explain the effect of twenty years of donor interventions as one form of transnational linkage in promoting the development of a palm oil biomass waste-to-energy niche in malaysia. the paper contributes to the existing literature by a conceptual and empirical examination of this research question. with regard to its empirical findings the paper concludes: (i) that advice on energy policy had a limited impact mainly due to strong opposing interests in maintaining the existing situation; (ii) that creating the necessary conditions for transferring a private-sector model of electricity production to malaysia remains a challenge; and (iii) that the short duration and unpredictability of interventions generally can be seen as an important impediment for programs in reaching their objectives. elsevier b.v. all rights reserved.
HEISKANEN_E_2018_INCUMBENT_ENERGY_COMPANIE,"the behaviour of incumbent energy companies is critical for a transition to a sustainable energy system. we address the recent call for closer conceptualisation of power and agency within transition studies by combining concepts of strategic action fields (fligstein and mcadam, ) and the flat-ontology perspective of arenas of development (jrgensen, ) to identify potential ruptures emerging on the micro scale in the field of sustainable energy. we investigate how new actor configurations in new experimental arenas open field rules for renegotiation. we provide a long-term analysis on how traditional energy field rules have emerged, how two of the most powerful energy companies in finland have responded to the emergence of sustainable energy and how new forms of collaborations are emerging in the space created by new arenas of development that create ruptures within the incumbent energy coalition. the authors"
RAVEN_R_2016_THE_POLITICS_OF_INNOVATIO,"energy systems around the globe face multiple, major pressures to transform into more sustainable ones. over the past decades numerous, potentially sustainable energy innovations have been proposed, studied, developed and implemented to varying degrees. in the field of transition studies, scholars have used the notion of 'protective space' to study how such innovations emerge, grow, survive and decline over time, but few take an explicit political perspective on these dynamics. this editorial briefly reviews why such a perspective is necessary, and, on the basis of the contributions in this special issue, what it could entail in evolutionary, relational and institutional terms. the paper ends with six lessons for those involved in sustainable innovation advocacy. elsevier b.v. all rights reserved."
FUDGE_S_2016_LOCAL_AUTHORITIES_AS_NICH,"local level decision-making can provide a vital and practicable means through which to deliver carbon reductions at individual, household and community levels. this paper explores the opportunities and challenges associated with the role of local government action in delivering a resilient, low carbon future. drawing on qualitative data gathered through interviews with six case study local authorities in the uk, the paper examines in particular the ways in which they have tried to address energy and environmental goals in their areas of jurisdiction. the principles of multi-level perspective (mlp) are employed to provide fresh insights on the potential for local government to encourage 'niche' level influences on economic, technological and social/behavioural innovation. in doing so, we identify the enabling factors and drivers that have given rise to success in linking microlevel goals with existing macro-level objectives, as well as highlighting some of the persistent obstacles that continue to hamper progress. elsevier b.v. all rights reserved."
MAZUR_C_2015_ASSESSING_AND_COMPARING_G,"this paper presents a novel policy assessment approach for sustainable transitions using insights from the multilevel perspective (mlp). an analysis of current german and uk policies for sustainable transport is conducted to illustrate its application. for both cases a potential transition pathway, that can satisfy environmental protection and industrial competitiveness goals, is derived from archetypal transition pathways. these are then put in relation to current policies, discussing whether these measures support these pathways. in the uk case, where emission reduction goals and industrial development are pursued together, current policies of promoting the diffusion of electric vehicles as well as industrial niches are supporting the emergence of a reconfiguration pathway. replacing foreign suppliers, the local automotive industry shall become a significant part of the future regime. in contrast to that, germany focuses on a careful transformation and conservation of its automotive industry where none of the current actors is left behind. the authors."
FRENKEN_K_2012_BRANCHING_INNOVATION_REC,"we propose a model of technological transitions based on two different types of innovations. branching innovations refer to technological improvements along a particular path, while recombinant innovations represent fusions of multiple paths. recombinant innovations create ""short-cuts"" which reduce switching costs allowing agents to escape a technological lock-in. as a result, recombinant innovations speed up technological progress allowing transitions that are impossible with only branching innovations. our model replicates some stylised facts of technological change, such as technological lock-in, experimental failure, punctuated change and irreversibility. furthermore, an extensive simulation experiment suggests that there is an optimal rate of innovation, which is strongly correlated with the number of recombination innovations. this underlines the pivotal role of technological variety as a seed for recombinant innovation leading to technological transitions. elsevier b.v."
JERNECK_A_2011_BREAKING_OUT_OF_SUSTAINAB,"we combine frame analysis and transition theory into a thinking tool in sustainability science and analyse three serious and persistent problems in global health subject to sustainability impasses: hiv/aids, malaria, and indoor air pollution. frame analysis identifies how problems are encased by scientific understandings and captured by transition barriers: policy cooptation, technoinstitutional lock-in, and knowledge trap. transition theory locates the transition barriers on a temporal scale and a conceptual level: landscape, regime, and niches. frame analysis reveals how problems are embedded in particular narratives while reframing stimulates alternative understandings and problem solutions. boundary work facilitates knowledge integration across units and transition management promotes actor oriented problem resolution. the thinking tool unites critical with problem solving research and ties reframing to analytical and temporal understandings of social change. the aim is dual: to advance methodology while stimulating critical problem solving in the quest for environmental innovations, social justice and sustainability. elsevier b.v. all rights reserved."
HEKKERT_MP_2020_MISSION_ORIENTED_INNOVATI,"rather than merely supporting r-and-d and strengthening innovation systems, the focus of innovation policy is currently shifting towards addressing societal challenges by transforming socio-economic systems. a particular trend within the emerging era of transformative innovation policy is the pursuit of challenge-based innovation missions, such as achieving a % circular economy by . by formulating clear and ambitious societal goals, policy makers are aiming to steer the directionality and adoption of innovation. in the absence of suitable frameworks to understand and enhance the impact of missions, we introduce the notion of mission-oriented innovation systems (mis). mis consists of networks of agents and sets of institutions that contribute to the development and diffusion of innovative solutions with the aim to define, pursue and complete a societal mission. we provide several promising research avenues, including how mis come into existence, how they are governed and how the interactions taking place in a mis may influence directionality and technological variety."
WESSELING_JH_2016_EXPLAINING_VARIANCE_IN_NA,"transition studies understanding of differences in public policy is limited due to its tendency to focus on single-country cases. this paper assesses differences in plug-in electric vehicle (pev) policies, comprising rd-and-d subsidies, infrastructure investments and sales incentives, across countries over the period . i explore three conditions that may influence these policy expenditures. content and statistical analyses show that national pev policies differed drastically across countries in intensity and orientation, ranging from a focus on supply-side innovation policy to a focus on demand-side environmental policy. the government's role across national political economies only explain differences in pev infrastructure investments, while the government's pev diffusion targets for surprisingly do not correlate with any pev policy. economic interest in the car industry shows and explains why car countries focus their policy on technology development, and non-car countries on technology diffusion. these findings enhance the understanding of national policies in transitions. elsevier b.v."
HAWKEY_DJC_2012_DISTRICT_HEATING_IN_THE_U,"district heating infrastructure could contribute to the uk's energy policy goals of decarbonisation, renewable energy deployment, tackling fuel poverty and ensuring energy security. however, while a number of schemes have been developed over the last decade, deployment of the technology remains limited. this paper adopts a technological innovation systems framework to ask what the principal challenges are to significantly scaling up the deployment of dh in the uk. while district heating networks are inherently local infrastructures, they are positioned in regulatory and market contexts organised at larger spatial scales, making geography an important factor and coordination across spatial scales an important policy area for accelerated deployment. elsevier b.v. all rights reserved."
PAPACHRISTOS_G_2011_A_SYSTEM_DYNAMICS_MODEL_O,"formal modelling of sociotechnical transitions has so far focused either on reproducing known historical case studies or on generic transition models that encompass some of the characteristics of the underlying processes. this article presents a model that captures the unfolding dynamics of an existing technological regime and the emerging niches as they compete and respond to landscape pressures. the theoretical basis is the ""multi-level perspective"" (mlp) framework. the development of new technologies in niches is endogenous and stochastic. model analysis can be seen as a test of the dynamic consistency of the mlp substitution pathway. simulation results are consistent with what mlp theory suggests and raise relevant questions and insights for future modelling work on transition pathways and theory development. elsevier b.v. all rights reserved."
HOLTZ_G_2011_MODELLING_TRANSITIONS_AN,"formal modelling is potentially a useful method to help understand the many mechanisms underlying transitions and their complex interactions. this article reviews existing models of transitions. it examines the mechanisms they cover, and to what extent the models contribute to understanding core characteristics of transitions, notably multi-domain interactions, inertia to change resulting from path-dependency, and the processes that induce, and contribute to self-reinforcement of, change. it is further assessed how well the models capture real world mechanisms and how this is motivated. it is concluded that models addressing the full extent of transitions suffer from a weak micro-foundation and empirical validation, which is largely due to the scope of transitions and the fragmented theoretical basis of transition research. it is proposed that transitions be broken down into particular problems and components, and that where possible associated areas of interest be defined and addressed in corresponding models. elsevier b.v. all rights reserved."
